Plasmid	Evidence	Property	Source	Genome Name	PATRIC ID	Source ID	Source Organism	Gene	Product	Function	Classification	PubMed	Subject Coverage	Query Coverage	Identity	E-value
pVA126-68	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV2p3	fig|573.32864.peg.11	ABC17627.1	Escherichia coli	AAC(6')-Ib-cr	Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating		"aminoglycoside resistance gene,antibiotic inactivation enzyme,fluoroquinolone resistance gene"		100	86	100	1e-112
pVA126-68	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV2p3	fig|573.32864.peg.33	AAO16462.1	uncultured bacterium	tetC	"Tetracycline resistance, MFS efflux pump => Tet(A)"		efflux pump conferring antibiotic resistance		99	44	81	4e-86
pVA126-68	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV2p3	fig|573.32864.peg.33	P02982	Escherichia coli		"Tetracycline resistance, MFS efflux pump => Tet(A)"	the major facilitator superfamily (mfs).	2.A.1.2.4	1312499;6310527	99	93	100	1e-230
pVA126-68	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV2p3	fig|573.32864.peg.25	ABC86904.1	Klebsiella pneumoniae	QnrB1	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10		"antibiotic target protection protein,fluoroquinolone resistance gene"		94	100	100	1e-123
pVA126-68	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV2p3	fig|573.32864.peg.16	CAA38525.1	Escherichia coli	AAC(3)-IIc	"Aminoglycoside N(3)-acetyltransferase (EC 2.3.1.81) => AAC(3)-II,III,IV,VI,VIII,IX,X"		"aminoglycoside resistance gene,antibiotic inactivation enzyme"		100	100	95	1e-159
pVA126-68	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV2p3	fig|573.32864.peg.12	P13661	Escherichia coli	bla	Class D beta-lactamase (EC 3.5.2.6) => OXA-1 family	Lysine Nz-Carboxylic Acid	Drug target		100	94	100	1e-158
pVA126-68	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV2p3	fig|573.32864.peg.16	WP_000557452.1	Bacteria		"Aminoglycoside N(3)-acetyltransferase (EC 2.3.1.81) => AAC(3)-II,III,IV,VI,VIII,IX,X"	MULTISPECIES: aminoglycoside N-acetyltransferase AAC(3)-IIa			100	100	100	1e-167
pVA126-68	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV2p3	fig|573.32864.peg.33			Tet(A)	"Tetracycline resistance, MFS efflux pump => Tet(A)"	"Tetracycline resistance, MFS efflux pump => Tet(A)"	efflux pump conferring antibiotic resistance	11272255				
pVA126-68	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV2p3	fig|573.32864.peg.5			NDM family	Subclass B1 beta-lactamase (EC 3.5.2.6) => NDM family	Subclass B1 beta-lactamase (EC 3.5.2.6) => NDM family	antibiotic inactivation enzyme	22078325				
pVA126-68	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV2p3	fig|573.32864.peg.16			"AAC(3)-II,III,IV,VI,VIII,IX,X"	"Aminoglycoside N(3)-acetyltransferase (EC 2.3.1.81) => AAC(3)-II,III,IV,VI,VIII,IX,X"	"Aminoglycoside N(3)-acetyltransferase (EC 2.3.1.81) => AAC(3)-II,III,IV,VI,VIII,IX,X"	antibiotic inactivation enzyme	1960117;1354954;18467306;1649572;20387903;6318050;19709289;2060791;8257126;19949054;2060791;10639379				
pVA126-68	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV2p3	fig|573.32864.peg.6	WP_004201167.1	Bacteria		bleomycin resistance protein	MULTISPECIES: bleomycin binding protein Ble-MBL			100	100	100	1e-67
pVA126-68	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV2p3	fig|573.32864.peg.12	AIA58911.1	Pseudomonas aeruginosa	OXA-1	Class D beta-lactamase (EC 3.5.2.6) => OXA-1 family		"antibiotic inactivation enzyme,beta-lactam resistance gene"		100	100	100	1e-167
pVA126-68	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV2p3	fig|573.32864.peg.25			QnrB10	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	antibiotic target protection protein	17938184				
pVA126-68	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV2p3	fig|573.32864.peg.11	WP_063839878.1	Serratia marcescens		Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating	MULTISPECIES: class A beta-lactamase TEM-156			42	84	98	1e-107
pVA126-68	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV2p3	fig|573.32864.peg.5	WP_032495622.1	Enterobacteriaceae		Subclass B1 beta-lactamase (EC 3.5.2.6) => NDM family	MULTISPECIES: subclass B1 metallo-beta-lactamase NDM-7			100	100	100	1e-156
pVA126-68	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV2p3	fig|573.32864.peg.12			OXA-1 family	Class D beta-lactamase (EC 3.5.2.6) => OXA-1 family	Class D beta-lactamase (EC 3.5.2.6) => OXA-1 family	antibiotic inactivation enzyme					
pVA126-68	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV2p3	fig|573.32864.peg.6	YP_007652797.1	Acinetobacter baumannii		bleomycin resistance protein		"gene involved in antibiotic sequestration,glycopeptide resistance gene"		100	100	100	1e-67
pVA126-68	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV2p3	fig|573.32864.peg.12	WP_001334766.1	Proteobacteria		Class D beta-lactamase (EC 3.5.2.6) => OXA-1 family	MULTISPECIES: oxacillin-hydrolyzing class D beta-lactamase OXA-1			100	94	100	1e-158
pVA126-68	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV2p3	fig|573.32864.peg.25	WP_014386481.1	Enterobacterales		Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	MULTISPECIES: quinolone resistance pentapeptide repeat protein QnrB1			100	100	100	1e-123
pVA126-68	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV2p3	fig|573.32864.peg.32	Q6SJ76	Escherichia coli		Permease of the drug/metabolite transporter (DMT) superfamily	the drug/metabolite transporter (dmt) superfamily.	2.A.7.3.67		100	100	100	1e-166
pVA126-68	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV2p3	fig|573.32864.peg.33	WP_000804064.1	Bacteria		"Tetracycline resistance, MFS efflux pump => Tet(A)"	MULTISPECIES: tetracycline efflux MFS transporter Tet(A)			99	93	100	1e-230
pVA126-68	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV2p3	fig|573.32864.peg.5	AFQ31613.1	Escherichia coli	NDM-7	Subclass B1 beta-lactamase (EC 3.5.2.6) => NDM family		"antibiotic inactivation enzyme,beta-lactam resistance gene"		100	100	100	1e-156
pVA126-42	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV2p4	fig|573.32865.peg.18	WP_000237816.1	Gammaproteobacteria		Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family)	MULTISPECIES: NAD(+)--rifampin ADP-ribosyltransferase Arr-2			100	64	100	3e-86
pVA126-42	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV2p4	fig|573.32865.peg.16	AAG45720.1	Escherichia coli	OXA-10	Class D beta-lactamase (EC 3.5.2.6) => OXA-10 family		"antibiotic inactivation enzyme,beta-lactam resistance gene"		100	100	100	1e-151
pVA126-42	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV2p4	fig|573.32865.peg.16	WP_000846390.1	Proteobacteria		Class D beta-lactamase (EC 3.5.2.6) => OXA-10 family	MULTISPECIES: oxacillin-hydrolyzing class D beta-lactamase OXA-10			100	100	100	1e-151
pVA126-42	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV2p4	fig|573.32865.peg.9	WP_025368620.1	Gammaproteobacteria		"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"	MULTISPECIES: class A extended-spectrum beta-lactamase CTX-M-2			100	100	100	1e-162
pVA126-42	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV2p4	fig|573.32865.peg.7	AEJ33969.1	Vibrio fluvialis	sul1	Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein		"antibiotic target replacement protein,sulfonamide resistance gene"		41	88	99	3e-60
pVA126-42	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV2p4	fig|573.32865.peg.15	YP_001715321.1	Acinetobacter baumannii AYE	aadA	Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family)		"aminoglycoside resistance gene,antibiotic inactivation enzyme"		100	96	99	1e-147
pVA126-42	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV2p4	fig|573.32865.peg.45	AMP35312.1	Enterobacter cloacae	vgaC	VapB protein (antitoxin to VapC)		efflux pump conferring antibiotic resistance		100	100	100	2e-37
pVA126-42	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV2p4	fig|573.32865.peg.16			OXA-10 family	Class D beta-lactamase (EC 3.5.2.6) => OXA-10 family	Class D beta-lactamase (EC 3.5.2.6) => OXA-10 family	antibiotic inactivation enzyme					
pVA126-42	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV2p4	fig|573.32865.peg.9	AAZ95872.1	Escherichia coli	CTX-M-2	"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"		"antibiotic inactivation enzyme,beta-lactam resistance gene"		100	100	100	1e-162
pVA126-42	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV2p4	fig|573.32865.peg.8			QacE	"Small multidrug resistance (SMR) efflux transporter => QacE delta 1, quaternary ammonium compounds"	"Small multidrug resistance (SMR) efflux transporter => QacE delta 1, quaternary ammonium compounds"	efflux pump conferring antibiotic resistance					
pVA126-42	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV2p4	fig|573.32865.peg.7	WP_000259031.1	Bacteria		Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein	MULTISPECIES: sulfonamide-resistant dihydropteroate synthase Sul1			41	88	99	3e-60
pVA126-42	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV2p4	fig|573.32865.peg.8	WP_000679427.1	Bacteria		"Small multidrug resistance (SMR) efflux transporter => QacE delta 1, quaternary ammonium compounds"	MULTISPECIES: quaternary ammonium compound efflux SMR transporter QacE delta 1			100	34	100	6e-60
pVA126-42	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV2p4	fig|573.32865.peg.14			QacE	"Small multidrug resistance (SMR) efflux transporter => QacE delta 1, quaternary ammonium compounds"	"Small multidrug resistance (SMR) efflux transporter => QacE delta 1, quaternary ammonium compounds"	efflux pump conferring antibiotic resistance					
pVA126-42	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV2p4	fig|573.32865.peg.13	WP_000259031.1	Bacteria		Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein	MULTISPECIES: sulfonamide-resistant dihydropteroate synthase Sul1			100	100	100	1e-156
pVA126-42	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV2p4	fig|573.32865.peg.9	Q47066	Escherichia coli	bla	"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"	Cephalothin Group;Cefotaxime Group;PCNOTAXIME GROUP	Drug target		100	100	99	1e-162
pVA126-42	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV2p4	fig|573.32865.peg.17	WP_012300772.1	Gammaproteobacteria		"Chloramphenicol resistance, MFS efflux pump => CmlA family"	MULTISPECIES: chloramphenicol efflux MFS transporter CmlA5			99	96	100	1e-241
pVA126-42	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV2p4	fig|573.32865.peg.16	P14489	Pseudomonas aeruginosa	bla	Class D beta-lactamase (EC 3.5.2.6) => OXA-10 family	Meropenem;4-iodo-acetamido phenylboronic acid;Lysine Nz-Carboxylic Acid;7-((Carboxy(4-Hydroxyphenyl)Acetyl)Amino)-7-Methoxy-(3-((1-Methyl-1h-Tetrazol-5-Yl)Thio)Methyl)-8-Oxo-5-Oxa-1-Azabicyclo[4.2.0]Oct-2-Ene-2-Carboxylic Acid	"Drug enzyme,Drug target"		100	100	100	1e-151
pVA126-42	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV2p4	fig|573.32865.peg.18	AAC64366.1	Pseudomonas aeruginosa	arr-2	Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family)		"antibiotic inactivation enzyme,rifampin resistance gene"		100	64	100	3e-86
pVA126-42	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV2p4	fig|573.32865.peg.17			CmlA family	"Chloramphenicol resistance, MFS efflux pump => CmlA family"	"Chloramphenicol resistance, MFS efflux pump => CmlA family"	efflux pump conferring antibiotic resistance	1648560;11959555 				
pVA126-42	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV2p4	fig|573.32865.peg.17	P32482	Pseudomonas aeruginosa		"Chloramphenicol resistance, MFS efflux pump => CmlA family"	the major facilitator superfamily (mfs).	2.A.1.2.3	1648560;1658833	99	95	99	1e-239
pVA126-42	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV2p4	fig|573.32865.peg.9			CTX-M family	"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"	"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"	antibiotic inactivation enzyme	17289764				
pVA126-42	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV2p4	fig|573.32865.peg.14	WP_000679427.1	Bacteria		"Small multidrug resistance (SMR) efflux transporter => QacE delta 1, quaternary ammonium compounds"	MULTISPECIES: quaternary ammonium compound efflux SMR transporter QacE delta 1			100	100	100	6e-60
pVA126-42	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV2p4	fig|573.32865.peg.15	WP_001209508.1	Bacteria		Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family)	MULTISPECIES: ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1			100	96	100	1e-148
pVA126-42	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV2p4	fig|573.32865.peg.7	P0C002	Escherichia coli	sulI	Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein	Sulfacetamide	Drug target		41	88	99	3e-60
pVA126-42	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV2p4	fig|573.32865.peg.13	P0C002	Escherichia coli	sulI	Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein	Sulfacetamide	Drug target		100	100	100	1e-156
pVA126-42	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV2p4	fig|573.32865.peg.13	AEJ33969.1	Vibrio fluvialis	sul1	Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein		"antibiotic target replacement protein,sulfonamide resistance gene"		100	100	100	1e-156
pVA126-12	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV2p5	fig|573.32866.peg.4	ABG56269.1	Citrobacter freundii	QnrB10	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10		"antibiotic target protection protein,fluoroquinolone resistance gene"		100	100	99	1e-130
pVA126-12	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV2p5	fig|573.32866.peg.13	WP_012954666.1	Gammaproteobacteria		Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	MULTISPECIES: quinolone resistance pentapeptide repeat protein QnrB19			72	100	100	8e-87
pVA126-12	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV2p5	fig|573.32866.peg.13	AGK90303.1	Escherichia coli	QnrB19	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10		"antibiotic target protection protein,fluoroquinolone resistance gene"		72	100	100	8e-87
pVA126-12	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV2p5	fig|573.32866.peg.4			QnrB10	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	antibiotic target protection protein	17938184				
pVA126-12	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV2p5	fig|573.32866.peg.13			QnrB10	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	antibiotic target protection protein	17938184				
pVA126-12	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV2p5	fig|573.32866.peg.4	WP_012954666.1	Gammaproteobacteria		Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	MULTISPECIES: quinolone resistance pentapeptide repeat protein QnrB19			100	94	100	1e-124
pVA172-67	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA172-67	fig|573.39894.peg.10	ABG56269.1	Citrobacter freundii	QnrB10	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10		"antibiotic target protection protein,fluoroquinolone resistance gene"		100	100	99	1e-130
pVA172-67	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA172-67	fig|573.39894.peg.86	WP_001082319.1	Bacteria		Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I	MULTISPECIES: aminoglycoside O-phosphotransferase APH(3'')-Ib			100	100	100	1e-157
pVA172-67	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA172-67	fig|573.39894.peg.87	AAL59753.1	Vibrio cholerae	sul2	Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein				100	100	100	1e-148
pVA172-67	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA172-67	fig|573.39894.peg.85			APH(6)-Ic/APH(6)-Id	Aminoglycoside 6-phosphotransferase (EC 2.7.1.72) => APH(6)-Ic/APH(6)-Id	Aminoglycoside 6-phosphotransferase (EC 2.7.1.72) => APH(6)-Ic/APH(6)-Id	antibiotic inactivation enzyme	3889831;15722395				
pVA172-67	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae pVA172-67	fig|573.39894.peg.83	P62593	Escherichia coli	bla	Class A beta-lactamase (EC 3.5.2.6) => TEM family	"Benzylpenicillin;1(R)-1-Acetamido-2-(3-Carboxyphenyl)Ethyl Boronic Acid;[[N-(Benzyloxycarbonyl)Amino]Methyl]Phosphate;[(2-Ethoxy-1-Naphthoyl)Amino]Methylboronic Acid;Pinacol[[2-Amino-Alpha-(1-Carboxy-1-Methylethoxyimino)-4-Thiazoleacetyl]Amino]Methaneboronate;N,N-Bis(4-Chlorobenzyl)-1h-1,2,3,4-Tetraazol-5-Amine;3-(4-Phenylamino-Phenylamino)-2-(1h-Tetrazol-5-Yl)-Acrylonitrile;1(R)-1-ACETAMIDO-2-(3-CARBOXY-2-HYDROXYPHENYL)ETHYL BORONIC ACID;(1R)-2-PHENYLACETAMIDO-2-(3-CARBOXYPHENYL)ETHYL BORONIC ACID;[(2-AMINO-ALPHA-METHOXYIMINO-4-THIAZOLYLACETYL)AMINO]METHYLBORONIC ACID;(1R)-1-(2-THIENYLACETYLAMINO)-1-(3-CARBOXYPHENYL)METHYLBORONIC ACID;Avibactam"	Drug target		100	100	100	1e-163
pVA172-67	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA172-67	fig|573.39894.peg.85	WP_000480968.1	Bacteria		Aminoglycoside 6-phosphotransferase (EC 2.7.1.72) => APH(6)-Ic/APH(6)-Id	MULTISPECIES: aminoglycoside O-phosphotransferase APH(6)-Id			100	100	100	1e-161
pVA172-67	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA172-67	fig|573.39894.peg.83	WP_000027057.1	Bacteria		Class A beta-lactamase (EC 3.5.2.6) => TEM family	MULTISPECIES: class A broad-spectrum beta-lactamase TEM-1			100	100	100	1e-163
pVA172-67	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA172-67	fig|573.39894.peg.87	WP_001043260.1	Bacteria		Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein	MULTISPECIES: sulfonamide-resistant dihydropteroate synthase Sul2			100	100	100	1e-148
pVA172-67	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA172-67	fig|573.39894.peg.83	CAD09800.1	Salmonella enterica subsp. enterica serovar Typhi str. CT18	TEM-1	Class A beta-lactamase (EC 3.5.2.6) => TEM family		"antibiotic inactivation enzyme,beta-lactam resistance gene"		100	100	100	1e-163
pVA172-67	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA172-67	fig|573.39894.peg.10			QnrB10	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	antibiotic target protection protein	17938184				
pVA172-67	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA172-67	fig|573.39894.peg.86	ABK33456.1	Pseudomonas aeruginosa	APH(3'')-Ib	Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I		"aminoglycoside resistance gene,antibiotic inactivation enzyme"		100	100	99	1e-156
pVA172-67	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA172-67	fig|573.39894.peg.86			APH(3'')-I	Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I	Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I	antibiotic inactivation enzyme	2167474;2653965;16954315				
pVA172-67	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA172-67	fig|573.39894.peg.83			TEM family	Class A beta-lactamase (EC 3.5.2.6) => TEM family	Class A beta-lactamase (EC 3.5.2.6) => TEM family	antibiotic inactivation enzyme	11585791				
pVA172-67	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA172-67	fig|573.39894.peg.85	AAC23556.1	Pseudomonas aeruginosa	APH(6)-Id	Aminoglycoside 6-phosphotransferase (EC 2.7.1.72) => APH(6)-Ic/APH(6)-Id		"aminoglycoside resistance gene,antibiotic inactivation enzyme"		100	100	99	1e-160
pVA172-67	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA172-67	fig|573.39894.peg.10	WP_012954666.1	Gammaproteobacteria		Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	MULTISPECIES: quinolone resistance pentapeptide repeat protein QnrB19			100	94	100	1e-124
pVA172-90	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA172-90	fig|573.39893.peg.9	WP_001749985.1	Gammaproteobacteria		Dihydrofolate reductase (EC 1.5.1.3)	MULTISPECIES: trimethoprim-resistant dihydrofolate reductase DfrA27			99	93	100	2e-86
pVA172-90	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA172-90	fig|573.39893.peg.27	WP_004199234.1	Gammaproteobacteria		"Class A beta-lactamase (EC 3.5.2.6) => KPC family, carbapenem-hydrolyzing"	MULTISPECIES: carbapenem-hydrolyzing class A beta-lactamase KPC-2			100	100	100	1e-167
pVA172-90	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae pVA172-90	fig|573.39893.peg.12	P0C002	Escherichia coli	sulI	Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein	Sulfacetamide	Drug target		100	100	100	1e-156
